"simulation","height1","width1","height2","width2","shape","area","size","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_down","prob_up","prob_left","prob_right","wind_direction","full_thresh_wind","mix_freq","scenario","propyears_avgFPcover_abovethreshold","propyears_prop_daysFP_abovehalf","avg_avg_FPcover","avg_max_FPcover","avg_firstdayFP","propyears_avgSAVcover_abovethreshold","propyears_prop_daysSAV_abovehalf","avg_avg_SAVcover","avg_max_SAVcover","avg_firstdaySAV","avg_SAVcover_yr01","avg_SAVcover_yr02","avg_SAVcover_yr03","avg_SAVcover_yr04","avg_FPcover_yr01","avg_FPcover_yr02","avg_FPcover_yr03","avg_FPcover_yr04"
7001,276,275,58,58,"cross",62444,"large",NA,1,120,4,8,2,4,5,5,100.0064061,30,30,100.0010676,3122,18733,0,0,0,312220,1873320,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.3418,0.5,0.406,0.362,0.25,0.25,0.25,0.25,"all",600,10,"A1",1,1,98.9068422262812,99.9071167766319,2,0,0,0.251765131073301,0.353114421707676,NA,4.16859009620392,0.616649841489505,0.567069764654467,0.251765131073301,93.4548320201805,97.7542640553538,97.8724663029529,98.9068422262812
7002,276,275,58,58,"cross",62444,"large",NA,1,120,4,8,2,4,5,5,100.0064061,30,30,100.0010676,3122,18733,0,0,0,312220,1873320,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.3418,0.5,0.406,0.362,0.1,0.7,0.1,0.1,"up",600,10,"A1",1,1,92.6482632548678,95.6292533312408,1,0,0,5.5378587816265,6.74912161376907,NA,3.86199319700219,2.61989223677182,4.29889493163654,5.5378587816265,94.0738755318607,96.1922404184316,95.0748935772153,92.6482632548678
7003,276,275,58,58,"cross",62444,"large",NA,1,120,4,8,2,4,5,5,100.0064061,30,30,100.0010676,3122,18733,0,0,0,312220,1873320,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.6906,0.5,0.58,0.333,0.25,0.25,0.25,0.25,"all",600,10,"A2",1,1,98.5360208948925,99.9071167766319,1,0,0,0.310817538128629,0.410493594130734,NA,3.68343777081188,0.312872377471589,0.266200683550225,0.310817538128629,94.4169137085375,97.7188886651091,98.6600116275485,98.5360208948925
7004,276,275,58,58,"cross",62444,"large",NA,1,120,4,8,2,4,5,5,100.0064061,30,30,100.0010676,3122,18733,0,0,0,312220,1873320,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.6906,0.5,0.58,0.333,0.1,0.7,0.1,0.1,"up",600,10,"A2",1,1,83.8497463206655,85.9019315009089,3,0,0,14.6821478082624,15.8511024398468,NA,6.15800674138419,6.12811157579386,11.4530234714231,14.6821478082624,91.3259368110314,90.4928596815133,85.3484378242827,83.8497463206655
7005,121,120,34,33,"cross",10032,"med1",NA,1,120,4,8,2,4,5,5,99.92031873,30,30,99.98671096,502,3010,0,0,0,50160,300960,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.0547,0.5,0.099,0.239,0.25,0.25,0.25,0.25,"all",600,10,"A1",1,1,99.3930233572173,99.6710526315789,1,0,0,3.92044139316307e-06,7.57892471507999e-06,NA,4.78739181047515,0.0375007157323579,0.000256377082616141,3.92044139316307e-06,93.4702768842102,99.4667171102129,99.2137997517842,99.3930233572173
7006,121,120,34,33,"cross",10032,"med1",NA,1,120,4,8,2,4,5,5,99.92031873,30,30,99.98671096,502,3010,0,0,0,50160,300960,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.0547,0.5,0.099,0.239,0.1,0.7,0.1,0.1,"up",600,10,"A1",1,1,98.4289912263535,99.6710526315789,1,0,0,0.347369345583884,0.971353416637288,NA,4.01161467731068,0.0641282641592172,0.00357211082841242,0.347369345583884,95.3318057399753,99.4752777272833,99.5092683396524,98.4289912263535
7007,121,120,34,33,"cross",10032,"med1",NA,1,120,4,8,2,4,5,5,99.92031873,30,30,99.98671096,502,3010,0,0,0,50160,300960,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.1104,0.5,0.181,0.303,0.25,0.25,0.25,0.25,"all",600,10,"A2",1,1,98.9527765089373,99.6710526315789,1,0,0,0.00242076818283698,0.00420488266989007,NA,4.57584443111584,0.129164953796515,0.00231676049518841,0.00242076818283698,93.6116564788119,99.1087832637049,99.4617628320874,98.9527765089373
7008,121,120,34,33,"cross",10032,"med1",NA,1,120,4,8,2,4,5,5,99.92031873,30,30,99.98671096,502,3010,0,0,0,50160,300960,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.1104,0.5,0.181,0.303,0.1,0.7,0.1,0.1,"up",600,10,"A2",1,1,98.0024832921038,99.6489052111716,1,0,0,1.3777967851776,2.25871108517962,NA,3.97833241350281,1.10416659418921,0.942739813474869,1.3777967851776,94.8963232242032,98.3864489452157,99.2371620877843,98.0024832921038
7009,175,175,45,45,"cross",22525,"med2",NA,1,120,4,8,2,4,5,5,100.0222025,30,30,99.99260136,1126,6758,0,0,0,112625,675750,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.123,0.5,0.197,0.312,0.25,0.25,0.25,0.25,"all",600,10,"A1",1,1,99.6270598909169,99.8002219755827,1,0,0,0.018497333992607,0.0502099228475164,NA,4.02177633378111,0.136909509137007,0.170828189236141,0.018497333992607,95.000485551837,99.2413721420386,99.2319540426806,99.6270598909169
7010,175,175,45,45,"cross",22525,"med2",NA,1,120,4,8,2,4,5,5,100.0222025,30,30,99.99260136,1126,6758,0,0,0,112625,675750,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.123,0.5,0.197,0.312,0.1,0.7,0.1,0.1,"up",600,10,"A1",1,1,98.6265712475579,99.8002219755827,1,0,0,1.21072116418649,1.56165128536987,NA,6.07678407157783,1.25912886949454,1.51809124823372,1.21072116418649,92.1929588639495,98.1573938097494,99.0956499183096,98.6265712475579
