"simulation","height1","width1","height2","width2","shape","area","size","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_down","prob_up","prob_left","prob_right","wind_direction","full_thresh_wind","mix_freq","scenario","propyears_avgFPcover_abovethreshold","propyears_prop_daysFP_abovehalf","avg_avg_FPcover","avg_max_FPcover","avg_firstdayFP","propyears_avgSAVcover_abovethreshold","propyears_prop_daysSAV_abovehalf","avg_avg_SAVcover","avg_max_SAVcover","avg_firstdaySAV","avg_SAVcover_yr01","avg_SAVcover_yr02","avg_SAVcover_yr03","avg_SAVcover_yr04","avg_FPcover_yr01","avg_FPcover_yr02","avg_FPcover_yr03","avg_FPcover_yr04"
2001,276,275,58,58,"cross",62444,"large",NA,1,120,4,3,0.75,4,1,1,100.0705128,15,15,99.99572969,624,9367,0,0,0,62444,936660,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.3418,0.5,0.406,0.362,0.25,0.25,0.25,0.25,"all",600,10,"A1",1,1,99.4595121613841,99.9071167766319,1,0,0,0.150094799247885,0.17116787657491,NA,1.2664847310754,0.137040522550478,0.153360790252608,0.150094799247885,93.3328422759487,99.2031105263327,99.3288210024057,99.4595121613841
2002,276,275,58,58,"cross",62444,"large",NA,1,120,4,3,0.75,4,1,1,100.0705128,15,15,99.99572969,624,9367,0,0,0,62444,936660,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.3418,0.5,0.406,0.362,0.1,0.7,0.1,0.1,"up",600,10,"A1",1,1,85.6206365852453,87.5150439496867,2,0,0,12.5941599072156,14.5823187365288,NA,2.32963275693289,3.57411550409297,8.13965337454155,12.5941599072156,90.1430612352063,94.460082470662,89.8404577171672,85.6206365852453
2003,276,275,58,58,"cross",62444,"large",NA,1,120,4,3,0.75,4,1,1,100.0705128,15,15,99.99572969,624,9367,0,0,0,62444,936660,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.6906,0.5,0.58,0.333,0.25,0.25,0.25,0.25,"all",600,10,"A2",1,1,98.809875332169,99.8970458974032,1,0,0,0.510236812532733,0.628745225042006,NA,1.21359292228641,0.288945420736553,0.404667841698884,0.510236812532733,93.1009136506938,98.5744003153372,98.9476818810591,98.809875332169
2004,276,275,58,58,"cross",62444,"large",NA,1,120,4,3,0.75,4,1,1,100.0705128,15,15,99.99572969,624,9367,0,0,0,62444,936660,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.6906,0.5,0.58,0.333,0.1,0.7,0.1,0.1,"up",600,10,"A2",1,1,76.8882603429437,80.371060350898,4,0,0,19.8999309332714,22.9403277330107,NA,2.32303347737402,7.52219359183362,14.0043722239995,19.8999309332714,89.7773623776916,88.2504430270588,82.3971985695432,76.8882603429437
2005,121,120,34,33,"cross",10032,"med1",NA,1,120,4,3,0.75,4,1,1,100.32,15,15,99.98671096,100,1505,0,0,0,10032,150480,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.0547,0.5,0.099,0.239,0.25,0.25,0.25,0.25,"all",600,10,"A1",1,1,99.3996138645911,99.6710526315789,1,0,0,0.000161196695031636,0.000405429653914401,NA,2.47886353036417,0.0401561654716163,0.000316362901588635,0.000161196695031636,90.3454139422376,99.3692994085151,99.1562531230173,99.3996138645911
2006,121,120,34,33,"cross",10032,"med1",NA,1,120,4,3,0.75,4,1,1,100.32,15,15,99.98671096,100,1505,0,0,0,10032,150480,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.0547,0.5,0.099,0.239,0.1,0.7,0.1,0.1,"up",600,10,"A1",1,1,98.6245601067496,99.6710526315789,1,0,0,0.82644052516826,0.925415673838007,NA,2.25986311546524,0.521361874766747,0.550991313558288,0.82644052516826,90.4354557986196,99.0775587429629,98.9212925946263,98.6245601067496
2007,121,120,34,33,"cross",10032,"med1",NA,1,120,4,3,0.75,4,1,1,100.32,15,15,99.98671096,100,1505,0,0,0,10032,150480,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.1104,0.5,0.181,0.303,0.25,0.25,0.25,0.25,"all",600,10,"A2",1,1,98.9876398529934,99.6710526315789,1,0,0,7.05822572666565e-06,1.13787052583785e-05,NA,1.24845952233693,0.0182051052191491,0.000271392032327592,7.05822572666565e-06,92.7614922193775,99.3185590072399,99.3055566429219,98.9876398529934
2008,121,120,34,33,"cross",10032,"med1",NA,1,120,4,3,0.75,4,1,1,100.32,15,15,99.98671096,100,1505,0,0,0,10032,150480,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.1104,0.5,0.181,0.303,0.1,0.7,0.1,0.1,"up",600,10,"A2",1,1,97.0145652067048,99.2733491041045,1,0,0,2.50019820285619,2.8865612046121,NA,2.65347838666761,0.806519576719063,1.52287110890135,2.50019820285619,89.6456292994185,97.9057548783556,97.6786989880886,97.0145652067048
2009,175,175,45,45,"cross",22525,"med2",NA,1,120,4,3,0.75,4,1,1,100.1111111,15,15,99.99260136,225,3379,0,0,0,22525,337875,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.123,0.5,0.197,0.312,0.25,0.25,0.25,0.25,"all",600,10,"A1",1,1,99.4266086701953,99.8002219755827,1,0,0,0.000659912177519816,0.00165299283926711,NA,1.86485266078467,0.124003215118366,0.0182650651376052,0.000659912177519816,90.4843646238364,98.9513690907278,99.1550163184605,99.4266086701953
2010,175,175,45,45,"cross",22525,"med2",NA,1,120,4,3,0.75,4,1,1,100.1111111,15,15,99.99260136,225,3379,0,0,0,22525,337875,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.123,0.5,0.197,0.312,0.1,0.7,0.1,0.1,"up",600,10,"A1",1,1,98.7991466200293,99.8002219755827,1,0,0,1.8207614882957,2.20638837036754,NA,2.09691988961206,1.90842725537582,2.74121475495621,1.8207614882957,90.7386234008683,96.7492895798423,97.2504195486805,98.7991466200293
