"simulation","height1","width1","height2","width2","shape","area","size","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_down","prob_up","prob_left","prob_right","wind_direction","full_thresh_wind","mix_freq","scenario","propyears_avgFPcover_abovethreshold","propyears_prop_daysFP_abovehalf","avg_avg_FPcover","avg_max_FPcover","avg_firstdayFP","propyears_avgSAVcover_abovethreshold","propyears_prop_daysSAV_abovehalf","avg_avg_SAVcover","avg_max_SAVcover","avg_firstdaySAV","avg_SAVcover_yr01","avg_SAVcover_yr02","avg_SAVcover_yr03","avg_SAVcover_yr04","avg_FPcover_yr01","avg_FPcover_yr02","avg_FPcover_yr03","avg_FPcover_yr04"
12001,276,275,58,58,"cross",62444,"large",NA,1,120,4,4,1,4,30,30,100.0010676,5,5,100.0064061,18733,3122,0,0,0,1873320,312220,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.3418,0.5,0.406,0.362,0.25,0.25,0.25,0.25,"all",600,10,"A1",0,0,3.74016240242995e-08,2.09774787400049e-07,NA,1,1,99.8211216106329,99.9071167766319,1,83.7904252733351,99.755934191925,99.8210204101813,99.8211216106329,27.588982644364,0.0796774780476025,5.46042717063535e-05,3.74016240242995e-08
12002,276,275,58,58,"cross",62444,"large",NA,1,120,4,4,1,4,30,30,100.0010676,5,5,100.0064061,18733,3122,0,0,0,1873320,312220,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.3418,0.5,0.406,0.362,0.1,0.7,0.1,0.1,"up",600,10,"A1",0,0,5.26461699067977e-08,2.95276995576089e-07,NA,1,1,99.8211215784977,99.9071167766319,1,84.8899822703199,99.7381853841269,99.8210014541638,99.8211215784977,26.4195378430489,0.101799777235786,7.68585467183015e-05,5.26461699067977e-08
12003,276,275,58,58,"cross",62444,"large",NA,1,120,4,4,1,4,30,30,100.0010676,5,5,100.0064061,18733,3122,0,0,0,1873320,312220,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.6906,0.5,0.58,0.333,0.25,0.25,0.25,0.25,"all",600,10,"A2",0,0,4.56027551774085e-08,2.55772537235916e-07,NA,1,1,99.8211215706837,99.9071167766319,1,80.6517928625628,99.7201258313006,99.8209883724353,99.8211215706837,33.3033330801357,0.0970699652122232,6.65774566896159e-05,4.56027551774085e-08
12004,276,275,58,58,"cross",62444,"large",NA,1,120,4,4,1,4,30,30,100.0010676,5,5,100.0064061,18733,3122,0,0,0,1873320,312220,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.6906,0.5,0.58,0.333,0.1,0.7,0.1,0.1,"up",600,10,"A2",0,0,2.82148258687184e-08,1.58248723689634e-07,NA,1,1,99.8211216528968,99.9071167766319,1,87.4973834142917,99.7788039823934,99.8210539808729,99.8211216528968,20.8244921583338,0.0563535852129574,4.11915848744704e-05,2.82148258687184e-08
12005,121,120,34,33,"cross",10032,"med1",NA,1,120,4,4,1,4,30,30,99.98671096,5,5,99.92031873,3010,502,0,0,0,300960,50160,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.0547,0.5,0.099,0.239,0.25,0.25,0.25,0.25,"all",600,10,"A1",0,0,7.61038117314945e-07,4.26840067924813e-06,NA,1,1,99.5852589332439,99.6710526315789,1,84.5449561264296,98.7676359608608,99.5840597886275,99.5852589332439,37.878768705843,1.34385107422441,0.00111090488718683,7.61038117314945e-07
12006,121,120,34,33,"cross",10032,"med1",NA,1,120,4,4,1,4,30,30,99.98671096,5,5,99.92031873,3010,502,0,0,0,300960,50160,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.0547,0.5,0.099,0.239,0.1,0.7,0.1,0.1,"up",600,10,"A1",0,0,4.12957448159155e-06,2.316137442684e-05,NA,1,1,99.5852507588198,99.6710526315789,1,77.2862028801489,96.6337795804767,99.5775192241231,99.5852507588198,43.4538231030161,4.97043213383326,0.00601510620708266,4.12957448159155e-06
12007,121,120,34,33,"cross",10032,"med1",NA,1,120,4,4,1,4,30,30,99.98671096,5,5,99.92031873,3010,502,0,0,0,300960,50160,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.1104,0.5,0.181,0.303,0.25,0.25,0.25,0.25,"all",600,10,"A2",0,0,1.24028623678371e-06,6.95633843869292e-06,NA,1,1,99.5852578435441,99.6710526315789,1,79.9924462260324,98.2212106432071,99.5833836312997,99.5852578435441,45.2019119258043,1.98813463401632,0.00181045361967682,1.24028623678371e-06
12008,121,120,34,33,"cross",10032,"med1",NA,1,120,4,4,1,4,30,30,99.98671096,5,5,99.92031873,3010,502,0,0,0,300960,50160,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.1104,0.5,0.181,0.303,0.1,0.7,0.1,0.1,"up",600,10,"A2",0,0,2.4434297306738e-05,0.000137045945806377,NA,1,1,99.5852115846799,99.6710526315789,1,72.8997691342438,92.2721303132813,99.5376704936565,99.5852115846799,57.7454593463012,11.8505747880269,0.0326381915778865,2.4434297306738e-05
12009,175,175,45,45,"cross",22525,"med2",NA,1,120,4,4,1,4,30,30,99.99260136,5,5,100.0222025,6758,1126,0,0,0,675750,112625,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.123,0.5,0.197,0.312,0.25,0.25,0.25,0.25,"all",600,10,"A1",0,0,2.60505027500479e-07,1.46108868417074e-06,NA,1,1,99.7143181681097,99.8002219755827,1,76.0745464420871,99.2285690687501,99.7137636280611,99.7143181681097,43.8339566396838,0.52544947017498,0.0003802923835959,2.60505027500479e-07
12010,175,175,45,45,"cross",22525,"med2",NA,1,120,4,4,1,4,30,30,99.99260136,5,5,100.0222025,6758,1126,0,0,0,675750,112625,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.123,0.5,0.197,0.312,0.1,0.7,0.1,0.1,"up",600,10,"A1",0,0,3.74853350669611e-07,2.10243174711872e-06,NA,1,1,99.7143178810666,99.8002219755827,1,79.0061641390254,99.1591448692588,99.7135750177545,99.7143178810666,41.3823198921052,0.706553044182601,0.000547189781047556,3.74853350669611e-07
