"simulation","height1","width1","height2","width2","shape","area","size","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_down","prob_up","prob_left","prob_right","wind_direction","full_thresh_wind","mix_freq","scenario","propyears_avgFPcover_abovethreshold","propyears_prop_daysFP_abovehalf","avg_avg_FPcover","avg_max_FPcover","avg_firstdayFP","propyears_avgSAVcover_abovethreshold","propyears_prop_daysSAV_abovehalf","avg_avg_SAVcover","avg_max_SAVcover","avg_firstdaySAV","avg_SAVcover_yr01","avg_SAVcover_yr02","avg_SAVcover_yr03","avg_SAVcover_yr04","avg_FPcover_yr01","avg_FPcover_yr02","avg_FPcover_yr03","avg_FPcover_yr04"
3001,276,275,58,58,"cross",62444,"large",NA,1,120,4,4,1,4,1,1,100.0705128,30,30,100.0010676,624,18733,0,0,0,62444,1873320,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.3418,0.5,0.406,0.362,0.25,0.25,0.25,0.25,"all",600,10,"A1",1,1,97.9609712910808,99.9071167766319,2,0,0,0.0409888951957573,0.0754987672886604,NA,0.764084555835403,0.14835444049385,0.099610047115954,0.0409888951957573,94.8156203987384,97.0923050554713,98.8041084401194,97.9609712910808
3002,276,275,58,58,"cross",62444,"large",NA,1,120,4,4,1,4,1,1,100.0705128,30,30,100.0010676,624,18733,0,0,0,62444,1873320,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.3418,0.5,0.406,0.362,0.1,0.7,0.1,0.1,"up",600,10,"A1",1,1,89.6847959362937,91.3196596297818,2,0,0,9.32153170175392,10.6966692367654,NA,1.36971622442768,2.94279413314002,6.45371053590527,9.32153170175392,94.1620643622677,94.6607436620194,92.2939100588207,89.6847959362937
3003,276,275,58,58,"cross",62444,"large",NA,1,120,4,4,1,4,1,1,100.0705128,30,30,100.0010676,624,18733,0,0,0,62444,1873320,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.6906,0.5,0.58,0.333,0.25,0.25,0.25,0.25,"all",600,10,"A2",1,1,97.5515826539405,99.8985748187521,3,0,0,0.470483003147377,0.617169974077165,NA,0.766692257331295,0.244438164839821,0.47770887888796,0.470483003147377,94.6136551595665,96.1791153074277,97.286419213524,97.5515826539405
3004,276,275,58,58,"cross",62444,"large",NA,1,120,4,4,1,4,1,1,100.0705128,30,30,100.0010676,624,18733,0,0,0,62444,1873320,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.6906,0.5,0.58,0.333,0.1,0.7,0.1,0.1,"up",600,10,"A2",1,1,77.64200701807,81.0524766497626,3,0,0,19.6920736729798,22.233489607781,NA,2.45815946295017,9.09811908392097,15.3272581718765,19.6920736729798,91.1827503411148,85.7751201983818,82.1475910492307,77.64200701807
3005,121,120,34,33,"cross",10032,"med1",NA,1,120,4,4,1,4,1,1,100.32,30,30,99.98671096,100,3010,0,0,0,10032,300960,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.0547,0.5,0.099,0.239,0.25,0.25,0.25,0.25,"all",600,10,"A1",1,1,99.376698702441,99.6710526315789,1,0,0,0.000112299215621023,0.000277519530909203,NA,1.26221921995047,0.00961394850097463,0.00203047560300914,0.000112299215621023,93.3014850440624,99.4610611931257,99.0632007247352,99.376698702441
3006,121,120,34,33,"cross",10032,"med1",NA,1,120,4,4,1,4,1,1,100.32,30,30,99.98671096,100,3010,0,0,0,10032,300960,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.0547,0.5,0.099,0.239,0.1,0.7,0.1,0.1,"up",600,10,"A1",1,1,99.3502789774007,99.6710526315789,1,0,0,0.13494176439794,0.14458046945672,NA,1.13479778618026,0.037639599515328,0.0376977921688557,0.13494176439794,94.1687581565346,99.3929467500518,98.7796627128931,99.3502789774007
3007,121,120,34,33,"cross",10032,"med1",NA,1,120,4,4,1,4,1,1,100.32,30,30,99.98671096,100,3010,0,0,0,10032,300960,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.1104,0.5,0.181,0.303,0.25,0.25,0.25,0.25,"all",600,10,"A2",1,1,98.7616334418921,99.6710526315789,1,0,0,0.000359065843120664,0.00177548953763453,NA,0.839898057778636,0.00674891020213132,0.000269464722365467,0.000359065843120664,94.6774646236763,98.4778672657777,99.0715176535538,98.7616334418921
3008,121,120,34,33,"cross",10032,"med1",NA,1,120,4,4,1,4,1,1,100.32,30,30,99.98671096,100,3010,0,0,0,10032,300960,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.1104,0.5,0.181,0.303,0.1,0.7,0.1,0.1,"up",600,10,"A2",1,1,99.2393491698873,99.6710526315789,1,0,0,0.164159170204782,0.17637276208506,NA,1.11519844510837,0.154198040206342,0.236862713499773,0.164159170204782,94.0672580050931,98.2580414115914,98.8471444530027,99.2393491698873
3009,175,175,45,45,"cross",22525,"med2",NA,1,120,4,4,1,4,1,1,100.1111111,30,30,99.99260136,225,6758,0,0,0,22525,675750,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.123,0.5,0.197,0.312,0.25,0.25,0.25,0.25,"all",600,10,"A1",1,1,99.5412056777717,99.8002219755827,1,0,0,0.00929151560220461,0.0167601541826206,NA,1.09267059933022,0.0725710203786608,0.130571595652601,0.00929151560220461,94.2824397989716,99.0197555599399,99.4138570329386,99.5412056777717
3010,175,175,45,45,"cross",22525,"med2",NA,1,120,4,4,1,4,1,1,100.1111111,30,30,99.99260136,225,6758,0,0,0,22525,675750,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.123,0.5,0.197,0.312,0.1,0.7,0.1,0.1,"up",600,10,"A1",1,1,99.1142664369066,99.8002219755827,1,0,0,0.487531859820129,0.543711506606493,NA,1.17477514418475,0.143899923631281,0.394552289733652,0.487531859820129,93.6892222897813,98.8965777101613,98.0797086755225,99.1142664369066
