"simulation","height1","width1","height2","width2","shape","area","size","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_down","prob_up","prob_left","prob_right","wind_direction","full_thresh_wind","mix_freq","scenario","propyears_avgFPcover_abovethreshold","propyears_prop_daysFP_abovehalf","avg_avg_FPcover","avg_max_FPcover","avg_firstdayFP","propyears_avgSAVcover_abovethreshold","propyears_prop_daysSAV_abovehalf","avg_avg_SAVcover","avg_max_SAVcover","avg_firstdaySAV","avg_SAVcover_yr01","avg_SAVcover_yr02","avg_SAVcover_yr03","avg_SAVcover_yr04","avg_FPcover_yr01","avg_FPcover_yr02","avg_FPcover_yr03","avg_FPcover_yr04"
9001,276,275,58,58,"cross",62444,"large",NA,1,120,4,1,0.25,4,15,15,99.99572969,15,15,99.99572969,9367,9367,0,0,0,936660,936660,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.3418,0.5,0.406,0.362,0.25,0.25,0.25,0.25,"all",600,10,"A1",0,0,4.59467705247301e-10,2.68587696647268e-09,NA,1,1,99.8211217239872,99.9071167766319,1,82.0098319948303,99.8042425051878,99.8211013508559,99.8211217239872,10.1722763930005,0.00489698204434962,1.49999426284611e-06,4.59467705247301e-10
9002,276,275,58,58,"cross",62444,"large",NA,1,120,4,1,0.25,4,15,15,99.99572969,15,15,99.99572969,9367,9367,0,0,0,936660,936660,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.3418,0.5,0.406,0.362,0.1,0.7,0.1,0.1,"up",600,10,"A1",0,0,5.91046240203397e-10,3.45503604395437e-09,NA,1,1,99.821121719628,99.9071167766319,1,81.1036527925606,99.8000653356057,99.8210973958996,99.821121719628,12.456278628366,0.00629836018882476,1.92955016899797e-06,5.91046240203397e-10
9003,276,275,58,58,"cross",62444,"large",NA,1,120,4,1,0.25,4,15,15,99.99572969,15,15,99.99572969,9367,9367,0,0,0,936660,936660,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.6906,0.5,0.58,0.333,0.25,0.25,0.25,0.25,"all",600,10,"A2",0,0,6.95075061545221e-10,4.06314976319996e-09,NA,1,1,99.8211217162838,99.9071167766319,1,80.1277851453835,99.7988903181152,99.8210943662426,99.8211217162838,14.3241366330506,0.00740808314626203,2.26916623984693e-06,6.95075061545221e-10
9004,276,275,58,58,"cross",62444,"large",NA,1,120,4,1,0.25,4,15,15,99.99572969,15,15,99.99572969,9367,9367,0,0,0,936660,936660,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.6906,0.5,0.58,0.333,0.1,0.7,0.1,0.1,"up",600,10,"A2",0,0,8.8086120814701e-10,5.14918633569805e-09,NA,1,1,99.8211217101758,99.9071167766319,1,79.063992471374,99.7911902487844,99.8210888283525,99.8211217101758,16.2284227647658,0.00936331994472741,2.875690295292e-06,8.8086120814701e-10
9005,121,120,34,33,"cross",10032,"med1",NA,1,120,4,1,0.25,4,15,15,99.98671096,15,15,99.98671096,1505,1505,0,0,0,150480,150480,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.0547,0.5,0.099,0.239,0.25,0.25,0.25,0.25,"all",600,10,"A1",0,0,2.27771794525271e-09,1.33145729616499e-08,NA,1,1,99.5852607126446,99.6710526315789,1,75.6984913305064,99.5072673329915,99.5851874524162,99.5852607126446,22.7695033601508,0.0242638967291409,7.43487001165283e-06,2.27771794525271e-09
9006,121,120,34,33,"cross",10032,"med1",NA,1,120,4,1,0.25,4,15,15,99.98671096,15,15,99.98671096,1505,1505,0,0,0,150480,150480,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.0547,0.5,0.099,0.239,0.1,0.7,0.1,0.1,"up",600,10,"A1",0,0,6.1724386291707e-09,3.60814580441498e-08,NA,0.75,0.75,99.5852606151571,99.6710526315789,1,68.9741484186435,99.3883998140628,99.5851006234095,99.5852606151571,31.5596935332748,0.0653629705400233,2.0147920510093e-05,6.1724386291707e-09
9007,121,120,34,33,"cross",10032,"med1",NA,1,120,4,1,0.25,4,15,15,99.98671096,15,15,99.98671096,1505,1505,0,0,0,150480,150480,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.1104,0.5,0.181,0.303,0.25,0.25,0.25,0.25,"all",600,10,"A2",0,0,2.33785033444019e-09,1.36660814023016e-08,NA,1,1,99.5852607144427,99.6710526315789,1,75.519411975892,99.5141269697634,99.5851892749981,99.5852607144427,22.4948138823271,0.0249088774533918,7.63115267252696e-06,2.33785033444019e-09
9008,121,120,34,33,"cross",10032,"med1",NA,1,120,4,1,0.25,4,15,15,99.98671096,15,15,99.98671096,1505,1505,0,0,0,150480,150480,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.1104,0.5,0.181,0.303,0.1,0.7,0.1,0.1,"up",600,10,"A2",0,0,2.05795136714455e-09,1.20299107647902e-08,NA,1,1,99.5852607228679,99.6710526315789,1,76.1419409787072,99.5225343696625,99.5851968781219,99.5852607228679,22.9432958345962,0.021868698842518,6.71751379120731e-06,2.05795136714455e-09
9009,175,175,45,45,"cross",22525,"med2",NA,1,120,4,1,0.25,4,15,15,99.99260136,15,15,99.99260136,3379,3379,0,0,0,337875,337875,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.123,0.5,0.197,0.312,0.25,0.25,0.25,0.25,"all",600,10,"A1",0,0,1.46554814709624e-09,8.56700442166529e-09,NA,1,1,99.7143188986964,99.8002219755827,1,75.9495766913684,99.6690368356215,99.714267752326,99.7143188986964,21.5078110542924,0.0156172655577536,4.78410992004434e-06,1.46554814709624e-09
9010,175,175,45,45,"cross",22525,"med2",NA,1,120,4,1,0.25,4,15,15,99.99260136,15,15,99.99260136,3379,3379,0,0,0,337875,337875,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.123,0.5,0.197,0.312,0.1,0.7,0.1,0.1,"up",600,10,"A1",0,0,1.55180815492976e-09,9.07124569814785e-09,NA,1,1,99.7143188991483,99.8002219755827,1,76.6515846146197,99.6693678847836,99.7142683313111,99.7143188991483,21.0289633956744,0.0165278231613109,5.06569568541541e-06,1.55180815492976e-09
9011,175,175,45,45,"cross",22525,"med2",NA,1,120,4,1,0.25,4,15,15,99.99260136,15,15,99.99260136,3379,3379,0,0,0,337875,337875,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.2486,0.5,0.332,0.356,0.25,0.25,0.25,0.25,"all",600,10,"A2",0,0,1.29247599875224e-09,7.55529432325011e-09,NA,1,1,99.7143189032876,99.8002219755827,1,76.1782032976663,99.6731410383505,99.7142718599336,99.7143189032876,19.6756431115386,0.0137731970087604,4.2191361953612e-06,1.29247599875224e-09
9012,175,175,45,45,"cross",22525,"med2",NA,1,120,4,1,0.25,4,15,15,99.99260136,15,15,99.99260136,3379,3379,0,0,0,337875,337875,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.2486,0.5,0.332,0.356,0.1,0.7,0.1,0.1,"up",600,10,"A2",0,0,1.03989875101557e-09,6.07882942334336e-09,NA,1,1,99.7143189150451,99.8002219755827,1,79.3557814791002,99.6836197808432,99.7142827007288,99.7143189150451,16.9923768676645,0.0110798995945802,3.39462750203898e-06,1.03989875101557e-09
9013,30,30,11,11,"cross",416,"small",NA,1,120,4,1,0.25,4,15,15,100.6451613,15,15,100.6451613,62,62,0,0,0,6240,6240,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,10,"A1",0.75,1,97.2302890922909,97.3557692307692,1,0,0,0.98762543078416,2.00334388868438,NA,60.6635156021143,21.4924942236569,6.3744102576047,0.98762543078416,66.8508211863924,88.9355332090403,95.1703755854582,97.2302890922909
9014,30,30,11,11,"cross",416,"small",NA,1,120,4,1,0.25,4,15,15,100.6451613,15,15,100.6451613,62,62,0,0,0,6240,6240,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.1,0.7,0.1,0.1,"up",600,10,"A1",0.75,1,96.8693086296723,97.3557692307692,1,0,0,2.25056989542997,3.69189981302717,NA,54.1364280235265,10.4621649392335,6.37594315414079,2.25056989542997,67.8208698988338,92.8036361792225,94.5636798995128,96.8693086296723
9015,30,30,11,11,"cross",416,"small",NA,1,120,4,1,0.25,4,15,15,100.6451613,15,15,100.6451613,62,62,0,0,0,6240,6240,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,10,"A2",1,1,97.0692063685423,97.3557692307692,1,0,0,0.0111169461534122,0.0226224261798744,NA,50.3163466326651,12.5107557373499,0.468701535957045,0.0111169461534122,71.6435899160539,94.9473977444273,96.6040934987183,97.0692063685423
9016,30,30,11,11,"cross",416,"small",NA,1,120,4,1,0.25,4,15,15,100.6451613,15,15,100.6451613,62,62,0,0,0,6240,6240,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.1,0.7,0.1,0.1,"up",600,10,"A2",0.75,1,94.0342702111386,97.3557692307692,1,0,0,9.19972593165597,10.3355581587809,NA,57.7464035915398,22.6911467268044,15.5237762959935,9.19972593165597,64.5528073505584,85.3320588509679,89.257177662711,94.0342702111386
9017,351,350,91,90,"cross",90090,"XL",NA,1,120,4,1,0.25,4,15,15,99.99630013,15,15,99.99630013,13514,13514,0,0,0,1351350,1351350,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.5,0.5,0.5,0.354,0.25,0.25,0.25,0.25,"all",600,10,"A1",0,0,1.4605868849152e-09,8.53800140556209e-09,NA,1,1,99.8141108538473,99.9000999000999,1,74.9650899606424,99.7714189515807,99.8140602128361,99.8141108538473,22.4782932133493,0.0155645894489267,4.76790291576743e-06,1.4605868849152e-09
9018,351,350,91,90,"cross",90090,"XL",NA,1,120,4,1,0.25,4,15,15,99.99630013,15,15,99.99630013,13514,13514,0,0,0,1351350,1351350,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.5,0.5,0.5,0.354,0.1,0.7,0.1,0.1,"up",600,10,"A1",0,0,8.92653918888793e-10,5.21809451577507e-09,NA,1,1,99.8141108745287,99.9000999000999,1,79.8084573209052,99.7878341815204,99.8140790731961,99.8141108745287,15.1297525282825,0.00951149471594396,2.91395697974464e-06,8.92653918888793e-10
9019,351,350,91,90,"cross",90090,"XL",NA,1,120,4,1,0.25,4,15,15,99.99630013,15,15,99.99630013,13514,13514,0,0,0,1351350,1351350,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,1,0.5,0.667,0.298,0.25,0.25,0.25,0.25,"all",600,10,"A2",0,0,1.27158080607307e-09,7.43314815548892e-09,NA,1,1,99.8141108587567,99.9000999000999,1,75.0985904163011,99.7754164709565,99.8140645986168,99.8141108587567,21.2022736832838,0.0135504521685453,4.15091624722279e-06,1.27158080607307e-09
9020,351,350,91,90,"cross",90090,"XL",NA,1,120,4,1,0.25,4,15,15,99.99630013,15,15,99.99630013,13514,13514,0,0,0,1351350,1351350,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,1,0.5,0.667,0.298,0.1,0.7,0.1,0.1,"up",600,10,"A2",0,0,1.27621917506054e-09,7.46026218823301e-09,NA,1,1,99.8141108618004,99.9000999000999,1,77.0724279591024,99.7725180341437,99.8140675294491,99.8141108618004,18.7637115664331,0.0133874132469229,4.16605815967342e-06,1.27621917506054e-09
9021,275,275,81,81,"eight",62503,"large",NA,1,120,4,1,0.25,4,15,15,100.0048,15,15,100.0048,9375,9375,0,0,0,937545,937545,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.3418,0.5,0.406,0.362,0.25,0.25,0.25,0.25,"all",600,10,"A1",0,0,6.52537403827223e-10,3.81449116907209e-09,NA,1,1,99.7844427594187,99.8704062205014,1,79.8583715531802,99.7624901339029,99.784415971022,99.7844427594187,13.5226367531367,0.00695475179500283,2.13030155550786e-06,6.52537403827223e-10
9022,275,275,81,81,"eight",62503,"large",NA,1,120,4,1,0.25,4,15,15,100.0048,15,15,100.0048,9375,9375,0,0,0,937545,937545,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.3418,0.5,0.406,0.362,0.1,0.7,0.1,0.1,"up",600,10,"A1",0,0,4.55441187510221e-10,2.66233993268679e-09,NA,1,1,99.784442767449,99.8704062205014,1,82.7308284660892,99.7681415842616,99.7844233338478,99.784442767449,10.1407073278228,0.00485412564320057,1.4868528168682e-06,4.55441187510221e-10
9023,275,275,81,81,"eight",62503,"large",NA,1,120,4,1,0.25,4,15,15,100.0048,15,15,100.0048,9375,9375,0,0,0,937545,937545,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.6906,0.5,0.58,0.333,0.25,0.25,0.25,0.25,"all",600,10,"A2",0,0,8.5195583721297e-10,4.98021722345416e-09,NA,1,1,99.7844427510981,99.8704062205014,1,76.9755648011339,99.7561428398466,99.784408334114,99.7844427510981,17.3767510956638,0.00908016534334743,2.78133151470147e-06,8.5195583721297e-10
9024,275,275,81,81,"eight",62503,"large",NA,1,120,4,1,0.25,4,15,15,100.0048,15,15,100.0048,9375,9375,0,0,0,937545,937545,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.6906,0.5,0.58,0.333,0.1,0.7,0.1,0.1,"up",600,10,"A2",0,0,6.40949147514188e-10,3.74675052898601e-09,NA,1,1,99.7844427600985,99.8704062205014,1,80.4027950471291,99.7618766914896,99.7844166033577,99.7844427600985,13.388814424029,0.00682800008609041,2.09247009447881e-06,6.40949147514188e-10
9025,115,115,40,40,"eight",10025,"med1",NA,1,120,4,1,0.25,4,15,15,99.98337766,15,15,99.98337766,1504,1504,0,0,0,150375,150375,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.0547,0.5,0.099,0.239,0.25,0.25,0.25,0.25,"all",600,10,"A1",0,0,1.82084425983817e-09,1.06439392142952e-08,NA,1,1,99.5152659036778,99.6009975062344,1,76.6180601563573,99.4578251873203,99.5152076108632,99.5152659036778,18.6035228160486,0.0194025642043376,5.94407629130337e-06,1.82084425983817e-09
9026,115,115,40,40,"eight",10025,"med1",NA,1,120,4,1,0.25,4,15,15,99.98337766,15,15,99.98337766,1504,1504,0,0,0,150375,150375,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.0547,0.5,0.099,0.239,0.1,0.7,0.1,0.1,"up",600,10,"A1",0,0,1.33510436573625e-09,7.80449488572839e-09,NA,1,1,99.5152659161203,99.6009975062344,1,76.9999183373962,99.4720817646677,99.5152187147173,99.5152659161203,19.2738747584424,0.0142251130424414,4.35839706420727e-06,1.33510436573625e-09
9027,115,115,40,40,"eight",10025,"med1",NA,1,120,4,1,0.25,4,15,15,99.98337766,15,15,99.98337766,1504,1504,0,0,0,150375,150375,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.1104,0.5,0.181,0.303,0.25,0.25,0.25,0.25,"all",600,10,"A2",0,0,9.89290449083393e-10,5.78300277381674e-09,NA,1,1,99.5152659316956,99.6009975062344,1,79.8803921231008,99.4886556252017,99.5152330555949,99.5152659316956,15.2917612135945,0.0105427941999209,3.22950074525846e-06,9.89290449083393e-10
9028,115,115,40,40,"eight",10025,"med1",NA,1,120,4,1,0.25,4,15,15,99.98337766,15,15,99.98337766,1504,1504,0,0,0,150375,150375,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.1104,0.5,0.181,0.303,0.1,0.7,0.1,0.1,"up",600,10,"A2",0,0,1.63661706551274e-09,9.56701951195391e-09,NA,1,1,99.5152659104184,99.6009975062344,1,76.6729969731038,99.4661305012678,99.5152137604081,99.5152659104184,19.7926453196116,0.017418426286452,5.34267375873406e-06,1.63661706551274e-09
