"simulation","height1","width1","height2","width2","shape","area","size","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_down","prob_up","prob_left","prob_right","wind_direction","full_thresh_wind","mix_freq","scenario","propyears_avgFPcover_abovethreshold","propyears_prop_daysFP_abovehalf","avg_avg_FPcover","avg_max_FPcover","avg_firstdayFP","propyears_avgSAVcover_abovethreshold","propyears_prop_daysSAV_abovehalf","avg_avg_SAVcover","avg_max_SAVcover","avg_firstdaySAV","avg_SAVcover_yr01","avg_SAVcover_yr02","avg_SAVcover_yr03","avg_SAVcover_yr04","avg_FPcover_yr01","avg_FPcover_yr02","avg_FPcover_yr03","avg_FPcover_yr04"
5001,276,275,58,58,"cross",62444,"large",NA,1,120,4,6,1.5,4,5,5,100.0064061,5,5,100.0064061,3122,3122,0,0,0,312220,312220,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.3418,0.5,0.406,0.362,0.25,0.25,0.25,0.25,"all",600,10,"A1",1,1,99.4102318962179,99.9071167766319,1,0,0,0.11292814281941,0.252125043230533,NA,15.5257280169749,1.02317044853115,0.450797207490938,0.11292814281941,87.0532041042442,97.9482456204485,99.1274171223141,99.4102318962179
5002,276,275,58,58,"cross",62444,"large",NA,1,120,4,6,1.5,4,5,5,100.0064061,5,5,100.0064061,3122,3122,0,0,0,312220,312220,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.3418,0.5,0.406,0.362,0.1,0.7,0.1,0.1,"up",600,10,"A1",1,1,88.2867921682969,90.5219863040329,2,0,0,10.531186916266,11.1988377254149,NA,16.9545817326082,6.36372057601248,8.70735837635986,10.531186916266,83.7831576193624,92.323554799904,89.6839062747547,88.2867921682969
5003,276,275,58,58,"cross",62444,"large",NA,1,120,4,6,1.5,4,5,5,100.0064061,5,5,100.0064061,3122,3122,0,0,0,312220,312220,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.6906,0.5,0.58,0.333,0.25,0.25,0.25,0.25,"all",600,10,"A2",1,1,97.5976853681367,99.9071167766319,1,0,0,0.80616735034198,1.04587705658767,NA,16.2880355988148,1.51131761034249,0.868403200795493,0.80616735034198,86.6114161529482,97.8533021714519,98.5469492194893,97.5976853681367
5004,276,275,58,58,"cross",62444,"large",NA,1,120,4,6,1.5,4,5,5,100.0064061,5,5,100.0064061,3122,3122,0,0,0,312220,312220,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.6906,0.5,0.58,0.333,0.1,0.7,0.1,0.1,"up",600,10,"A2",1,1,74.6312891341922,77.9814829794583,4,0,0,23.452907096352,25.8867425321476,NA,23.0237926209553,14.2686068197527,19.8811439109803,23.452907096352,78.8680777191125,82.990384842719,78.1073588113086,74.6312891341922
5005,121,120,34,33,"cross",10032,"med1",NA,1,120,4,6,1.5,4,5,5,99.92031873,5,5,99.92031873,502,502,0,0,0,50160,50160,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.0547,0.5,0.099,0.239,0.25,0.25,0.25,0.25,"all",600,10,"A1",1,1,99.387779523368,99.6710526315789,1,0,0,4.34374412622535e-05,0.00010908311157058,NA,21.7022445305528,0.368120464266194,0.00337226246402684,4.34374412622535e-05,83.9843945867346,99.5106911301731,99.3002725187172,99.387779523368
5006,121,120,34,33,"cross",10032,"med1",NA,1,120,4,6,1.5,4,5,5,99.92031873,5,5,99.92031873,502,502,0,0,0,50160,50160,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.0547,0.5,0.099,0.239,0.1,0.7,0.1,0.1,"up",600,10,"A1",1,1,99.0605050078654,99.6710526315789,1,0,0,0.598528581469989,0.868137344668607,NA,24.2588684208225,1.309610203853,0.183520297531006,0.598528581469989,82.0891748888756,98.9227814813411,99.5008637228515,99.0605050078654
5007,121,120,34,33,"cross",10032,"med1",NA,1,120,4,6,1.5,4,5,5,99.92031873,5,5,99.92031873,502,502,0,0,0,50160,50160,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.1104,0.5,0.181,0.303,0.25,0.25,0.25,0.25,"all",600,10,"A2",1,1,99.0745158305994,99.6710526315789,1,0,0,0.0129422168941279,0.0294231828975533,NA,27.0698831554001,1.0148077706387,0.096674269732318,0.0129422168941279,81.3755768763759,98.6183149996121,99.0692246104869,99.0745158305994
5008,121,120,34,33,"cross",10032,"med1",NA,1,120,4,6,1.5,4,5,5,99.92031873,5,5,99.92031873,502,502,0,0,0,50160,50160,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.1104,0.5,0.181,0.303,0.1,0.7,0.1,0.1,"up",600,10,"A2",1,1,97.2551797578847,99.6710526315789,1,0,0,2.80409569541429,3.38330054778639,NA,21.3054018325767,3.20510982733746,1.68327088395576,2.80409569541429,83.4117835177364,97.9958293797264,98.4689624496096,97.2551797578847
5009,175,175,45,45,"cross",22525,"med2",NA,1,120,4,6,1.5,4,5,5,100.0222025,5,5,100.0222025,1126,1126,0,0,0,112625,112625,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.123,0.5,0.197,0.312,0.25,0.25,0.25,0.25,"all",600,10,"A1",1,1,99.4395890062356,99.8002219755827,1,0,0,0.00117868253132138,0.00275693836429311,NA,23.7188887564883,0.870364488404921,0.0127840101073408,0.00117868253132138,83.2209245009361,98.7222466268234,99.5805281355312,99.4395890062356
5010,175,175,45,45,"cross",22525,"med2",NA,1,120,4,6,1.5,4,5,5,100.0222025,5,5,100.0222025,1126,1126,0,0,0,112625,112625,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.123,0.5,0.197,0.312,0.1,0.7,0.1,0.1,"up",600,10,"A1",1,1,98.4363053547039,99.8002219755827,1,0,0,1.04463560897904,1.55735179663257,NA,23.4429958299093,1.74938723587409,0.870696042114902,1.04463560897904,83.0175685835429,98.8613642009214,98.9628505146189,98.4363053547039
