"simulation","height1","width1","height2","width2","shape","area","size","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_down","prob_up","prob_left","prob_right","wind_direction","full_thresh_wind","mix_freq","scenario","propyears_avgFPcover_abovethreshold","propyears_prop_daysFP_abovehalf","avg_avg_FPcover","avg_max_FPcover","avg_firstdayFP","propyears_avgSAVcover_abovethreshold","propyears_prop_daysSAV_abovehalf","avg_avg_SAVcover","avg_max_SAVcover","avg_firstdaySAV","avg_SAVcover_yr01","avg_SAVcover_yr02","avg_SAVcover_yr03","avg_SAVcover_yr04","avg_FPcover_yr01","avg_FPcover_yr02","avg_FPcover_yr03","avg_FPcover_yr04"
1,276,275,58,58,"cross",62444,"large",NA,1,120,4,1,0.25,4,1,1,100.0705128,1,1,100.0705128,624,624,0,0,0,62444,62444,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.3418,0.5,0.406,0.362,0.25,0.25,0.25,0.25,"all",600,10,"A1",0,0,3.29046804728736e-07,1.92348498612105e-06,NA,0.75,0.75,99.8210645101589,99.9071167766319,1,36.1138586685459,92.1662276621393,99.7566124370188,99.8210645101589,27.6236861511495,1.46009676538527,0.00104212629761385,3.29046804728736e-07
2,276,275,58,58,"cross",62444,"large",NA,1,120,4,1,0.25,4,1,1,100.0705128,1,1,100.0705128,624,624,0,0,0,62444,62444,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.3418,0.5,0.406,0.362,0.1,0.7,0.1,0.1,"up",600,10,"A1",0,0,3.28782822228667e-07,1.92194183774438e-06,NA,0.75,0.75,99.8210943489852,99.9071167766319,1,35.1525066595376,91.7623996343129,99.7754142725565,99.8210943489852,32.3363119416198,1.74359925283044,0.00107178248224626,3.28782822228667e-07
3,276,275,58,58,"cross",62444,"large",NA,1,120,4,1,0.25,4,1,1,100.0705128,1,1,100.0705128,624,624,0,0,0,62444,62444,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.6906,0.5,0.58,0.333,0.25,0.25,0.25,0.25,"all",600,10,"A2",0,0,1.68813528294066e-07,9.86820971077266e-07,NA,0.75,0.75,99.8211101873576,99.9071167766319,1,33.5215599261714,93.0948124520525,99.8027343870096,99.8211101873576,29.7115739502064,0.879399384123936,0.000550615813331783,1.68813528294066e-07
4,276,275,58,58,"cross",62444,"large",NA,1,120,4,1,0.25,4,1,1,100.0705128,1,1,100.0705128,624,624,0,0,0,62444,62444,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.6906,0.5,0.58,0.333,0.1,0.7,0.1,0.1,"up",600,10,"A2",0,0,1.62885599043235e-07,9.52168488763486e-07,NA,0.75,0.75,99.821112498057,99.9071167766319,1,37.9946596603041,93.9564560196231,99.8071296584161,99.821112498057,28.256543351972,0.893412913655937,0.000526282294589622,1.62885599043235e-07
5,121,120,34,33,"cross",10032,"med1",NA,1,120,4,1,0.25,4,1,1,100.32,1,1,100.32,100,100,0,0,0,10032,10032,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.0547,0.5,0.099,0.239,0.25,0.25,0.25,0.25,"all",600,10,"A1",0,0,0.00308366979016201,0.0169581560428368,NA,0.5,0.5,99.5258132218477,99.6710526315789,1,31.9694022833079,51.0049388022556,90.4785865344894,99.5258132218477,46.9770808617472,45.6153970948312,3.46030801312904,0.00308366979016201
6,121,120,34,33,"cross",10032,"med1",NA,1,120,4,1,0.25,4,1,1,100.32,1,1,100.32,100,100,0,0,0,10032,10032,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.0547,0.5,0.099,0.239,0.1,0.7,0.1,0.1,"up",600,10,"A1",0,0,0.0116362084679204,0.0538054620862099,NA,0.5,0.5,99.3088117743086,99.6710526315789,1,33.0455872729452,54.1966532995854,88.3143859774914,99.3088117743086,41.323955361253,44.0440079515195,5.11251062045874,0.0116362084679204
7,121,120,34,33,"cross",10032,"med1",NA,1,120,4,1,0.25,4,1,1,100.32,1,1,100.32,100,100,0,0,0,10032,10032,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.1104,0.5,0.181,0.303,0.25,0.25,0.25,0.25,"all",600,10,"A2",0,0,0.000329341484909397,0.0016436049719737,NA,0.5,0.5,99.5720487142266,99.6710526315789,1,31.793244644227,56.260611150447,95.9227914903484,99.5720487142266,49.0689357657963,34.4307606246158,0.456785368037862,0.000329341484909397
8,121,120,34,33,"cross",10032,"med1",NA,1,120,4,1,0.25,4,1,1,100.32,1,1,100.32,100,100,0,0,0,10032,10032,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.1104,0.5,0.181,0.303,0.1,0.7,0.1,0.1,"up",600,10,"A2",0,0,0.000245014802623697,0.00143225062172654,NA,0.5,0.5,99.5831748073251,99.6710526315789,1,32.5316798019933,58.5352181697866,96.6279756911224,99.5831748073251,46.6890096668972,38.2029771680895,0.463284629382718,0.000245014802623697
9,175,175,45,45,"cross",22525,"med2",NA,1,120,4,1,0.25,4,1,1,100.1111111,1,1,100.1111111,225,225,0,0,0,22525,22525,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.123,0.5,0.197,0.312,0.25,0.25,0.25,0.25,"all",600,10,"A1",0,0,2.53872677263758e-05,0.000148403722652261,NA,0.5,0.5,99.7136781136171,99.8002219755827,1,31.0535886710823,69.4128397436292,98.6652835427559,99.7136781136171,46.5385885666603,20.8176709413364,0.0620135245743384,2.53872677263758e-05
10,175,175,45,45,"cross",22525,"med2",NA,1,120,4,1,0.25,4,1,1,100.1111111,1,1,100.1111111,225,225,0,0,0,22525,22525,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.123,0.5,0.197,0.312,0.1,0.7,0.1,0.1,"up",600,10,"A1",0,0,3.54789130582078e-05,0.000207395262257092,NA,0.75,0.75,99.7135941008753,99.8002219755827,1,32.2940002779467,71.1715536071263,98.5124851237847,99.7135941008753,47.1801918305357,21.1281927711152,0.0830474722580291,3.54789130582078e-05
11,175,175,45,45,"cross",22525,"med2",NA,1,120,4,1,0.25,4,1,1,100.1111111,1,1,100.1111111,225,225,0,0,0,22525,22525,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.2486,0.5,0.332,0.356,0.25,0.25,0.25,0.25,"all",600,10,"A2",0,0,9.61556340652745e-05,0.000464093637443417,NA,0.5,0.5,99.6785066277975,99.8002219755827,1,28.39048668619,69.6590647856364,97.7218330764822,99.6785066277975,48.3996522564492,18.6710097194317,0.0811925766536825,9.61556340652745e-05
12,175,175,45,45,"cross",22525,"med2",NA,1,120,4,1,0.25,4,1,1,100.1111111,1,1,100.1111111,225,225,0,0,0,22525,22525,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.2486,0.5,0.332,0.356,0.1,0.7,0.1,0.1,"up",600,10,"A2",0,0,5.96001509158269e-06,3.48398472830991e-05,NA,0.75,0.75,99.7141531621633,99.8002219755827,1,32.6759311325667,79.7015046750627,99.3739364713827,99.7141531621633,43.4016517610123,12.1313816657141,0.0174257613417749,5.96001509158269e-06
13,30,30,11,11,"cross",416,"small",NA,1,120,4,1,0.25,4,1,1,104,1,1,104,4,4,0,0,0,416,416,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,10,"A1",0.25,0.25,76.8598111206203,88.9412558445661,3,0,0,37.5295322442059,40.4017014791744,NA,30.0550817625198,46.906454168519,42.140662494344,37.5295322442059,19.4926812679767,50.6097454045284,67.4476285974852,76.8598111206203
14,30,30,11,11,"cross",416,"small",NA,1,120,4,1,0.25,4,1,1,104,1,1,104,4,4,0,0,0,416,416,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.1,0.7,0.1,0.1,"up",600,10,"A1",0.25,0.25,74.0926038301186,80.41276459566,3,0,0,35.3416362807343,37.1566676435695,NA,27.2736576043004,48.1924824624675,42.1421087727103,35.3416362807343,20.4493195046133,54.4245476132117,67.7608113116,74.0926038301186
