"simulation","height1","width1","height2","width2","shape","area","size","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_down","prob_up","prob_left","prob_right","wind_direction","full_thresh_wind","mix_freq","scenario","propyears_avgFPcover_abovethreshold","propyears_prop_daysFP_abovehalf","avg_avg_FPcover","avg_max_FPcover","avg_firstdayFP","propyears_avgSAVcover_abovethreshold","propyears_prop_daysSAV_abovehalf","avg_avg_SAVcover","avg_max_SAVcover","avg_firstdaySAV","avg_SAVcover_yr01","avg_SAVcover_yr02","avg_SAVcover_yr03","avg_SAVcover_yr04","avg_FPcover_yr01","avg_FPcover_yr02","avg_FPcover_yr03","avg_FPcover_yr04"
8001,276,275,58,58,"cross",62444,"large",NA,1,120,4,9,2.25,4,15,15,99.99572969,1,1,100.0705128,9367,624,0,0,0,936660,62444,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.3418,0.5,0.406,0.362,0.25,0.25,0.25,0.25,"all",600,10,"A1",0,0,7.28183846578253e-06,3.98343704646043e-05,NA,1,1,99.8211190912914,99.9071167766319,1,82.553753861097,99.5299765721921,99.8202333337303,99.8211190912914,30.0393041862369,1.1944024292617,0.00307327101475851,7.28183846578253e-06
8002,276,275,58,58,"cross",62444,"large",NA,1,120,4,9,2.25,4,15,15,99.99572969,1,1,100.0705128,9367,624,0,0,0,936660,62444,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.3418,0.5,0.406,0.362,0.1,0.7,0.1,0.1,"up",600,10,"A1",0,0,3.94365275492125e-06,2.15732446514106e-05,NA,1,1,99.8211202867739,99.9071167766319,1,85.5858866958112,99.6779959982001,99.8206202787503,99.8211202867739,22.9170491364996,0.66055338532521,0.00166429751147865,3.94365275492125e-06
8003,276,275,58,58,"cross",62444,"large",NA,1,120,4,9,2.25,4,15,15,99.99572969,1,1,100.0705128,9367,624,0,0,0,936660,62444,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.6906,0.5,0.58,0.333,0.25,0.25,0.25,0.25,"all",600,10,"A2",0,0,4.54083940723904e-06,2.48400835868501e-05,NA,1,1,99.8211200489865,99.9071167766319,1,80.9355051494753,99.5897955607566,99.8205275195399,99.8211200489865,28.7703597621411,0.77682324018752,0.00191645763071023,4.54083940723904e-06
8004,276,275,58,58,"cross",62444,"large",NA,1,120,4,9,2.25,4,15,15,99.99572969,1,1,100.0705128,9367,624,0,0,0,936660,62444,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.6906,0.5,0.58,0.333,0.1,0.7,0.1,0.1,"up",600,10,"A2",0,0,4.50453838658969e-06,2.46415170200587e-05,NA,1,1,99.8211200034191,99.9071167766319,1,84.225898173645,99.5940758960361,99.8204517309932,99.8211200034191,26.8180087358244,0.729238787274409,0.00190076481151438,4.50453838658969e-06
8005,121,120,34,33,"cross",10032,"med1",NA,1,120,4,9,2.25,4,15,15,99.98671096,1,1,100.32,1505,100,0,0,0,150480,10032,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.0547,0.5,0.099,0.239,0.25,0.25,0.25,0.25,"all",600,10,"A1",0.5,0.5,99.2310210704555,99.6710526315789,1,0.5,0.5,2.9503769407702,7.15753028395773,NA,80.7854907219952,72.0369156225469,49.556838289803,2.9503769407702,29.7236338946143,57.9939873442929,83.6948963866947,99.2310210704555
8006,121,120,34,33,"cross",10032,"med1",NA,1,120,4,9,2.25,4,15,15,99.98671096,1,1,100.32,1505,100,0,0,0,150480,10032,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.0547,0.5,0.099,0.239,0.1,0.7,0.1,0.1,"up",600,10,"A1",0.75,0.75,99.4637902381244,99.6710526315789,1,0.25,0.25,0.813208195689201,1.32494105677972,NA,77.7431713088569,44.3421912745734,4.57895455773002,0.813208195689201,38.3237007969516,84.9280100980338,98.3838031227471,99.4637902381244
8007,121,120,34,33,"cross",10032,"med1",NA,1,120,4,9,2.25,4,15,15,99.98671096,1,1,100.32,1505,100,0,0,0,150480,10032,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.1104,0.5,0.181,0.303,0.25,0.25,0.25,0.25,"all",600,10,"A2",0.75,0.75,99.0974400048278,99.6710526315789,1,0.25,0.25,0.066657345939983,0.202804756301243,NA,75.8616019165304,21.3874045701817,0.64082804689114,0.066657345939983,50.7560733154605,96.3931098101459,99.4267212330039,99.0974400048278
8008,121,120,34,33,"cross",10032,"med1",NA,1,120,4,9,2.25,4,15,15,99.98671096,1,1,100.32,1505,100,0,0,0,150480,10032,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.1104,0.5,0.181,0.303,0.1,0.7,0.1,0.1,"up",600,10,"A2",0.75,0.75,94.1410710594982,97.487315224123,1,0.25,0.25,9.19789591678714,11.6203472002572,NA,76.6934563344952,40.6220619752937,18.8770880683223,9.19789591678714,43.7631391074958,75.9070421485215,86.7130805509688,94.1410710594982
8009,175,175,45,45,"cross",22525,"med2",NA,1,120,4,9,2.25,4,15,15,99.99260136,1,1,100.1111111,3379,225,0,0,0,337875,22525,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.123,0.5,0.197,0.312,0.25,0.25,0.25,0.25,"all",600,10,"A1",0.5,0.75,99.0026481673513,99.8002219755827,1,0.25,0.25,2.08268666315157,4.17140761102688,NA,75.4283514586833,66.0203170549219,38.9910919796161,2.08268666315157,44.023659822631,67.2347534470081,88.892352340707,99.0026481673513
8010,175,175,45,45,"cross",22525,"med2",NA,1,120,4,9,2.25,4,15,15,99.99260136,1,1,100.1111111,3379,225,0,0,0,337875,22525,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.123,0.5,0.197,0.312,0.1,0.7,0.1,0.1,"up",600,10,"A1",0.25,0.25,78.3070880038067,85.0832136860659,7,0.5,0.25,30.6708528175935,36.8910407654776,NA,77.7723869251861,72.1789201693392,57.6163122382598,30.6708528175935,43.6927538809846,55.0973679945039,63.3390902356764,78.3070880038067
