"simulation","height1","width1","height2","width2","shape","area","size","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_down","prob_up","prob_left","prob_right","wind_direction","full_thresh_wind","mix_freq","scenario","SAV_end_yr01","SAV_end_yr02","SAV_end_yr03","SAV_end_yr04","FP_end_yr01","FP_end_yr02","FP_end_yr03","FP_end_yr04","TOTALN_end_yr01","TOTALN_end_yr02","TOTALN_end_yr03","TOTALN_end_yr04"
7203,276,275,58,58,"cross",62444,"large",NA,1,120,4,1,0.25,4,15,15,99.99572969,1,1,100.0705128,9367,624,0,0,0,936660,62444,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.6906,0.5,0.58,0.333,0.25,0.25,0.25,0.25,"all",600,10,"A2",99.9071167766319,99.9071167766319,99.9071167766319,99.9071167766319,0.0904927954149524,7.51449693628367e-05,6.18492494472123e-08,5.09053899652991e-11,9.99071167766319e-09,9.99071167766319e-09,9.98143198261956e-09,9.99071167766319e-09
7204,276,275,58,58,"cross",62444,"large",NA,1,120,4,1,0.25,4,15,15,99.99572969,1,1,100.0705128,9367,624,0,0,0,936660,62444,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.6906,0.5,0.58,0.333,0.1,0.7,0.1,0.1,"up",600,10,"A2",99.9071167766319,99.9071167766319,99.9071167766319,99.9071167766319,0.0711364316206235,5.92713811168025e-05,4.87859666251249e-08,4.01535831149947e-11,9.99057441506205e-09,9.99071167766319e-09,9.98143198261956e-09,9.99071167766319e-09
7207,121,120,34,33,"cross",10032,"med1",NA,1,120,4,1,0.25,4,15,15,99.98671096,1,1,100.32,1505,100,0,0,0,150480,10032,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.1104,0.5,0.181,0.303,0.25,0.25,0.25,0.25,"all",600,10,"A2",99.6710526315789,99.6710526315789,99.6710526315789,99.6710526315789,0.0697917533947767,5.81994980722023e-05,4.79021371110728e-08,3.94261366022124e-11,9.96710526315789e-09,9.96710526315789e-09,9.93431873268698e-09,9.96710526315789e-09
7208,121,120,34,33,"cross",10032,"med1",NA,1,120,4,1,0.25,4,15,15,99.98671096,1,1,100.32,1505,100,0,0,0,150480,10032,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.1104,0.5,0.181,0.303,0.1,0.7,0.1,0.1,"up",600,10,"A2",99.6710526315789,99.6710526315789,99.6710526315789,99.6710526315789,0.064883721357678,5.39560184126639e-05,4.44093502403306e-08,3.65513787621047e-11,9.96710526315789e-09,9.96710526315789e-09,9.93431873268698e-09,9.96710526315789e-09
7211,175,175,45,45,"cross",22525,"med2",NA,1,120,4,1,0.25,4,15,15,99.99260136,1,1,100.1111111,3379,225,0,0,0,337875,22525,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.2486,0.5,0.332,0.356,0.25,0.25,0.25,0.25,"all",600,10,"A2",99.8002219755827,99.8002219755827,99.8002219755827,99.8002219755827,0.0997393290509446,8.32431439777621e-05,6.85146930486973e-08,5.63914226141155e-11,9.98002219755827e-09,9.98002219755827e-09,9.96008430637558e-09,9.98002219755827e-09
7212,175,175,45,45,"cross",22525,"med2",NA,1,120,4,1,0.25,4,15,15,99.99260136,1,1,100.1111111,3379,225,0,0,0,337875,22525,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.2486,0.5,0.332,0.356,0.1,0.7,0.1,0.1,"up",600,10,"A2",99.8002219755827,99.8002219755827,99.8002219755827,99.8002219755827,0.0703616096989324,5.87715582659911e-05,4.83744414944917e-08,3.98148735122807e-11,9.98002219755827e-09,9.98002219755827e-09,9.96008430637558e-09,9.98002219755827e-09
7215,30,30,11,11,"cross",416,"small",NA,1,120,4,1,0.25,4,15,15,100.6451613,1,1,104,62,4,0,0,0,6240,416,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,10,"A2",97.3557692307692,97.3557692307692,97.3557692307692,97.3557692307692,0.053353219750275,4.56712552884477e-05,3.75922745404215e-08,3.09405447518076e-11,9.73557692307692e-09,9.73557692307692e-09,9.47814580251480e-09,9.73557692307692e-09
7216,30,30,11,11,"cross",416,"small",NA,1,120,4,1,0.25,4,15,15,100.6451613,1,1,104,62,4,0,0,0,6240,416,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.1,0.7,0.1,0.1,"up",600,10,"A2",97.3557692307692,97.3557692307692,97.3557692307692,97.3557692307692,0.044671757956339,3.89352537005738e-05,3.20462022093461e-08,2.63758157903727e-11,9.73557692307692e-09,9.73557692307692e-09,9.47814580251480e-09,9.73557692307692e-09
7219,351,350,91,90,"cross",90090,"XL",NA,1,120,4,1,0.25,4,15,15,99.99630013,1,1,99.98890122,13514,901,0,0,0,1351350,90090,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,1,0.5,0.667,0.298,0.25,0.25,0.25,0.25,"all",600,10,"A2",99.9000999000999,99.9000999000999,99.9000999000999,99.9000999000999,0.106989274348309,8.88481759732193e-05,7.31279496458553e-08,6.01883906240188e-11,9.99000999001e-09,9.99000999001e-09,9.98002996004996e-09,9.99000999001e-09
7220,351,350,91,90,"cross",90090,"XL",NA,1,120,4,1,0.25,4,15,15,99.99630013,1,1,99.98890122,13514,901,0,0,0,1351350,90090,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,1,0.5,0.667,0.298,0.1,0.7,0.1,0.1,"up",600,10,"A2",99.9000999000999,99.9000999000999,99.9000999000999,99.9000999000999,0.0837726245933086,6.9894099649053e-05,5.75328573115484e-08,4.7352761340733e-11,9.9899551675648e-09,9.99000999001e-09,9.98002996004996e-09,9.99000999001e-09
7223,275,275,81,81,"eight",62503,"large",NA,1,120,4,1,0.25,4,15,15,100.0048,1,1,100.0048,9375,625,0,0,0,937545,62503,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.6906,0.5,0.58,0.333,0.25,0.25,0.25,0.25,"all",600,10,"A2",99.8704062205014,99.8704062205014,99.8704062205014,99.8704062205014,0.0716459040370933,5.94547093709208e-05,4.89351413870672e-08,4.02763568564186e-11,9.98704062205015e-09,9.98704062205015e-09,9.97409803864798e-09,9.98704062205015e-09
7224,275,275,81,81,"eight",62503,"large",NA,1,120,4,1,0.25,4,15,15,100.0048,1,1,100.0048,9375,625,0,0,0,937545,62503,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.6906,0.5,0.58,0.333,0.1,0.7,0.1,0.1,"up",600,10,"A2",99.8704062205014,99.8704062205014,99.8704062205014,99.8704062205014,0.0776281079621206,6.47864778705735e-05,5.33269015755244e-08,4.38910294118475e-11,9.98681749044458e-09,9.98704062205015e-09,9.97409803864798e-09,9.98704062205015e-09
7227,115,115,40,40,"eight",10025,"med1",NA,1,120,4,1,0.25,4,15,15,99.98337766,1,1,100.25,1504,100,0,0,0,150375,10025,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.1104,0.5,0.181,0.303,0.25,0.25,0.25,0.25,"all",600,10,"A2",99.6009975062344,99.6009975062344,99.6009975062344,99.6009975062344,0.0491584280886894,4.07913289280457e-05,3.3573838423756e-08,2.76331456979028e-11,9.96009975062344e-09,9.96009975062344e-09,9.92035870423691e-09,9.96009975062344e-09
7228,115,115,40,40,"eight",10025,"med1",NA,1,120,4,1,0.25,4,15,15,99.98337766,1,1,100.25,1504,100,0,0,0,150375,10025,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.1104,0.5,0.181,0.303,0.1,0.7,0.1,0.1,"up",600,10,"A2",99.6009975062344,99.6009975062344,99.6009975062344,99.6009975062344,0.0715707447753125,6.05268574174247e-05,4.98193094720024e-08,4.10040823668165e-11,9.96009975062344e-09,9.96009975062344e-09,9.92035870423691e-09,9.96009975062344e-09
7231,166,165,50,49,"eight",22490,"med2",NA,1,120,4,1,0.25,4,15,15,99.98518079,1,1,99.95555556,3374,225,0,0,0,337350,22490,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.2486,0.5,0.332,0.356,0.25,0.25,0.25,0.25,"all",600,10,"A2",99.7821253890618,99.7821253890618,99.7821253890618,99.7821253890618,0.0799304296452813,6.64173622598837e-05,5.46658642230415e-08,4.49930621289141e-11,9.97821253890618e-09,9.97821253890618e-09,9.95647254715846e-09,9.97821253890618e-09
7232,166,165,50,49,"eight",22490,"med2",NA,1,120,4,1,0.25,4,15,15,99.98518079,1,1,99.95555556,3374,225,0,0,0,337350,22490,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.2486,0.5,0.332,0.356,0.1,0.7,0.1,0.1,"up",600,10,"A2",99.7821253890618,99.7821253890618,99.7821253890618,99.7821253890618,0.0740729470049334,6.19838297233634e-05,5.10178969279091e-08,4.19905834043438e-11,9.97821253890618e-09,9.97821253890618e-09,9.95647254715846e-09,9.97821253890618e-09
7235,25,25,11,10,"eight",405,"small",NA,1,120,4,1,0.25,4,15,15,99.59016393,1,1,101.25,61,4,0,0,0,6075,405,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,10,"A2",97.5308641975309,97.5308641975309,97.5308641975309,97.5308641975309,0.0654810253540573,5.55662852935516e-05,4.57355734658542e-08,3.76429349363065e-11,9.75308641975309e-09,9.75308641975309e-09,9.51226947111721e-09,9.75308641975309e-09
7236,25,25,11,10,"eight",405,"small",NA,1,120,4,1,0.25,4,15,15,99.59016393,1,1,101.25,61,4,0,0,0,6075,405,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.1,0.7,0.1,0.1,"up",600,10,"A2",97.5308641975309,97.5308641975309,97.5308641975309,97.5308641975309,0.0760379778335273,6.61577463722879e-05,5.44538066896542e-08,4.48185270042134e-11,9.75308641975309e-09,9.75308641975309e-09,9.51226947111721e-09,9.75308641975309e-09
7239,326,326,90,90,"eight",90076,"XL",NA,1,120,4,1,0.25,4,15,15,100.0029606,1,1,99.97336293,13511,901,0,0,0,1351140,90076,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,1,0.5,0.667,0.298,0.25,0.25,0.25,0.25,"all",600,10,"A2",99.900084373196,99.900084373196,99.900084373196,99.900084373196,0.0962311846152636,7.9928049490377e-05,6.57860115175224e-08,5.41455650639121e-11,9.9900084373196e-09,9.9900084373196e-09,9.98002685777168e-09,9.9900084373196e-09
7240,326,326,90,90,"eight",90076,"XL",NA,1,120,4,1,0.25,4,15,15,100.0029606,1,1,99.97336293,13511,901,0,0,0,1351140,90076,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,1,0.5,0.667,0.298,0.1,0.7,0.1,0.1,"up",600,10,"A2",99.900084373196,99.900084373196,99.900084373196,99.900084373196,0.0746138429776634,6.23516151089006e-05,5.13208973212659e-08,4.22399738232914e-11,9.9900084373196e-09,9.9900084373196e-09,9.98002685777168e-09,9.9900084373196e-09
7243,275,275,114,115,"hook",62515,"large",NA,1,120,4,1,0.25,4,15,15,100.0026661,1,1,100.024,9377,625,0,0,0,937725,62515,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.6906,0.5,0.58,0.333,0.25,0.25,0.25,0.25,"all",600,10,"A2",100,100,100,100,0.0833233836961231,6.91090322862412e-05,5.68812519786858e-08,4.68164502522602e-11,1e-08,1e-08,1e-08,1e-08
7244,275,275,114,115,"hook",62515,"large",NA,1,120,4,1,0.25,4,15,15,100.0026661,1,1,100.024,9377,625,0,0,0,937725,62515,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.6906,0.5,0.58,0.333,0.1,0.7,0.1,0.1,"up",600,10,"A2",100,100,100,100,0.081714744346909,6.81689584008449e-05,5.61112713480467e-08,4.6182722064583e-11,1e-08,1e-08,1e-08,1e-08
7247,115,115,57,56,"hook",10033,"med1",NA,1,120,4,1,0.25,4,15,15,99.99667774,1,1,100.33,1505,100,0,0,0,150495,10033,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.1104,0.5,0.181,0.303,0.25,0.25,0.25,0.25,"all",600,10,"A2",100,100,100,100,0.0760196547826543,6.32511239180992e-05,5.20598754339118e-08,4.28481877664678e-11,1e-08,1e-08,1e-08,1e-08
7248,115,115,57,56,"hook",10033,"med1",NA,1,120,4,1,0.25,4,15,15,99.99667774,1,1,100.33,1505,100,0,0,0,150495,10033,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.1104,0.5,0.181,0.303,0.1,0.7,0.1,0.1,"up",600,10,"A2",100,100,100,100,0.0578242336277464,4.82263673077397e-05,3.96936023821714e-08,3.267005412299e-11,1e-08,1e-08,1e-08,1e-08
7251,175,175,90,90,"hook",22525,"med2",NA,1,120,4,1,0.25,4,15,15,99.99260136,1,1,100.1111111,3379,225,0,0,0,337875,22525,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.2486,0.5,0.332,0.356,0.25,0.25,0.25,0.25,"all",600,10,"A2",100,100,100,100,0.0685977546674223,5.69472780905578e-05,4.68712989160292e-08,3.8577699175509e-11,1e-08,1e-08,1e-08,1e-08
7252,175,175,90,90,"hook",22525,"med2",NA,1,120,4,1,0.25,4,15,15,99.99260136,1,1,100.1111111,3379,225,0,0,0,337875,22525,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.2486,0.5,0.332,0.356,0.1,0.7,0.1,0.1,"up",600,10,"A2",100,100,100,100,0.0711463040069169,5.9327581153259e-05,4.8832353848631e-08,4.01917611231954e-11,1e-08,1e-08,1e-08,1e-08
7255,30,30,25,20,"hook",400,"small",NA,1,120,4,1,0.25,4,15,15,100,1,1,100,60,4,0,0,0,6000,400,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,10,"A2",100,100,100,100,0.0608303104965694,5.23029835046628e-05,4.30500991890111e-08,3.5432639304478e-11,1e-08,1e-08,1e-08,1e-08
7256,30,30,25,20,"hook",400,"small",NA,1,120,4,1,0.25,4,15,15,100,1,1,100,60,4,0,0,0,6000,400,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.1,0.7,0.1,0.1,"up",600,10,"A2",100,100,100,100,0.0532319980727707,4.55258192871912e-05,3.74724879662498e-08,3.08419542675675e-11,1e-08,1e-08,1e-08,1e-08
7259,400,400,275,255,"hook",89875,"XL",NA,1,120,4,1,0.25,4,15,15,100.0018545,1,1,99.97219132,13481,899,0,0,0,1348125,89875,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,1,0.5,0.667,0.298,0.25,0.25,0.25,0.25,"all",600,10,"A2",100,100,100,100,0.0931065317385383,7.73820778062866e-05,6.36904814425878e-08,5.24208266335819e-11,1e-08,1e-08,1e-08,1e-08
