"simulation","height1","width1","height2","width2","shape","area","size","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_down","prob_up","prob_left","prob_right","wind_direction","full_thresh_wind","mix_freq","scenario","propyears_avgFPcover_abovethreshold","propyears_prop_daysFP_abovehalf","avg_avg_FPcover","avg_max_FPcover","avg_firstdayFP","propyears_avgSAVcover_abovethreshold","propyears_prop_daysSAV_abovehalf","avg_avg_SAVcover","avg_max_SAVcover","avg_firstdaySAV","avg_SAVcover_yr01","avg_SAVcover_yr02","avg_SAVcover_yr03","avg_SAVcover_yr04","avg_FPcover_yr01","avg_FPcover_yr02","avg_FPcover_yr03","avg_FPcover_yr04","final_FP01_yr04","final_FP02_yr04","final_FP03_yr04","final_FP04_yr04"
1,100,100,5,5,"rectangle",10000,"large",1,1,150,4,1,0.25,4,1,1,100,1,1,100,100,100,0,0,0,10000,10000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0,0,1.2685083538259e-11,9.23883786702981e-11,NA,0.75,0.75,99.9330844707338,100,1,59.9528174003688,99.5015288333815,99.9330149541731,99.9330844707338,5.04550576065124,0.0028692188899119,1.92801655162331e-07,1.2685083538259e-11,4.44771875770618e-14,NA,NA,NA
2,100,100,5,5,"rectangle",10000,"large",1,1,150,4,1,0.25,4,1,1,100,5,5,100,100,500,0,0,0,10000,50000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0,0,4.57821607935466e-11,3.33441998626294e-10,NA,0.75,0.75,99.9330844724523,100,1,48.0470311490434,99.5159951572556,99.9330217137546,99.9330844724523,19.0801617175222,0.0103913315107821,6.95846925510413e-07,4.57821607935466e-11,1.60524110634056e-13,NA,NA,NA
3,100,100,5,5,"rectangle",10000,"large",1,1,150,4,1,0.25,4,1,1,100,15,15,100,100,1500,0,0,0,10000,150000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0,0,9.02847880370275e-11,6.57564860347503e-10,NA,0.75,0.75,99.9330844319451,100,1,34.7870794093337,98.3497578403824,99.9328678558832,99.9330844319451,31.8535681728758,0.0190583639493287,1.37224611395696e-06,9.02847880370275e-11,3.16561845317485e-13,NA,NA,NA
4,100,100,5,5,"rectangle",10000,"large",1,1,150,4,1,0.25,4,1,1,100,30,30,100,100,3000,0,0,0,10000,3e+05,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0,0,1.91249011137469e-10,1.39291050058854e-09,NA,0.75,0.75,99.9330843168505,100,1,28.1635627924625,96.7738106611537,99.9324239529773,99.9330843168505,39.3913081138343,0.0372777262139582,2.90680987361297e-06,1.91249011137469e-10,6.70568555313891e-13,NA,NA,NA
5,100,100,5,5,"rectangle",10000,"large",1,1,150,4,1,0.25,4,1,1,100,45,45,100,100,4500,0,0,0,10000,450000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0,0,3.5196026027948e-10,2.56340746243432e-09,NA,0.75,0.75,99.9330839966277,100,1,22.9065947549401,94.8342850678518,99.9306142831841,99.9330839966277,45.6676640094394,0.0620621330263396,5.34926345363875e-06,3.5196026027948e-10,1.23406380958367e-12,NA,NA,NA
6,100,100,5,5,"rectangle",10000,"large",1,1,150,4,1,0.25,4,5,5,100,1,1,100,500,100,0,0,0,50000,10000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0,0,9.85274196696995e-13,7.17597840833862e-12,NA,1,1,99.9330844887908,100,1,82.7517246640986,99.9299560955054,99.9330836322327,99.9330844887908,1.32215566286992,0.000227610833621555,1.49752656522129e-08,9.85274196696995e-13,3.45462646179364e-15,NA,NA,NA
7,100,100,5,5,"rectangle",10000,"large",1,1,150,4,1,0.25,4,5,5,100,5,5,100,500,500,0,0,0,50000,50000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0,0,4.01914731546799e-12,2.92723735711513e-11,NA,1,1,99.9330844885774,100,1,79.6868655091502,99.927363654847,99.9330828430514,99.9330844885774,5.28663052442149,0.000928473396358146,6.10873591786601e-08,4.01914731546799e-12,1.40921712112314e-14,NA,NA,NA
8,100,100,5,5,"rectangle",10000,"large",1,1,150,4,1,0.25,4,5,5,100,15,15,100,500,1500,0,0,0,50000,150000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0,0,9.71411816602646e-12,7.07501550828631e-11,NA,1,1,99.9330844880443,100,1,72.5708110551054,99.9203673991816,99.9330808560642,99.9330844880443,13.1450433939732,0.00224408441523876,1.47645701675352e-07,9.71411816602646e-12,3.40602136764023e-14,NA,NA,NA
9,100,100,5,5,"rectangle",10000,"large",1,1,150,4,1,0.25,4,5,5,100,30,30,100,500,3000,0,0,0,50000,3e+05,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0,0,1.7043507971178e-11,1.24131785459852e-10,NA,0.75,1,99.9330844872911,100,1,66.0133903617757,99.9095507995413,99.9330780418566,99.9330844872911,20.1452338872867,0.00393727028645996,2.59045715788539e-07,1.7043507971178e-11,5.97589522149327e-14,NA,NA,NA
10,100,100,5,5,"rectangle",10000,"large",1,1,150,4,1,0.25,4,5,5,100,45,45,100,500,4500,0,0,0,50000,450000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",0,0,2.95451895177029e-11,2.15184405275264e-10,NA,0.75,0.75,99.9330844859302,100,1,57.2743569416607,99.8866858112451,99.9330729510759,99.9330844859302,29.4901057265617,0.00682532997059997,4.49059828560445e-07,2.95451895177029e-11,1.03593084918626e-13,NA,NA,NA
